product_title,shopify_product_id,prod_type,prepaid
A New Gray - 3 Items,4519378059322,3,f
Adventure Time - 3 Items,2477581697082,3,f
Balanced Beige - 2 Items,4573583736890,2,f
Balanced Beige - 3 Items,4573584588858,3,f
Balanced Beige - 3 Items Auto renew,4573584588858,3,f
Balanced Beige - 5 Items,4573589995578,5,f
Bayou Babe - 5 Items,4557460406330,5,f
Calypso - 3 Items,4429051559994,3,f
Canyon Sunset - 3 Items,2525982588986,3,f
Coral Kissed - 2 Items,4620659195962,2,f
Coral Kissed - 3 Items,4620659523642,3,f
Coral Kissed - 3 Items Auto renew,4620659523642,3,f
Coral Kissed - 5 Items,4620659851322,5,f
Daily Mantra - 2 Items,4620666339386,2,f
Daily Mantra - 2 Items Auto renew,4620666339386,2,f
Daily Mantra - 3 Items,4620666634298,3,f
Daily Mantra - 3 Items Auto renew,4620666634298,3,f
Daily Mantra - 5 Items,4620667420730,5,f
Elemental - 2 Items,4601245335610,2,f
Elemental - 3 Items,4601245925434,3,f
Elemental - 5 Items,4601247039546,5,f
Ellie Picks - 2 Items,4399742615610,2,f
Ellie Picks - 3 Items,4399742746682,3,f
Ellie Picks - 5 Items,4399742910522,5,f
Emerald Tide - 5 Items,4466306973754,5,f
Force Of Nature - 2 Items,4522156752954,2,f
Force Of Nature - 3 Items,4522157015098,3,f
Force Of Nature - 3 Items Auto renew,4522157015098,3,f
Force Of Nature - 5 Items,4522158096442,5,f
Full Bloom - 3 Items,4557441073210,3,f
Funfetti - 2 Items,4620660801594,2,f
Funfetti - 2 Items Auto renew,4620660801594,2,f
Funfetti - 3 Items,4620660965434,3,f
Funfetti - 3 Items (Ships every 1 Months) (ships every 1 month) (Ships every 1 month),4620660965434,3,f
Funfetti - 5 Items,4620661555258,5,f
Glamazon - 3 Items,4574063263802,3,f
Grayscale - 2 Items,4620670009402,2,f
Grayscale - 3 Items,4620670402618,3,f
Grayscale - 3 Items Auto renew,4620670402618,3,f
Grayscale - 5 Items,4620682952762,5,f
Grayscale - 5 Items Auto renew,4620682952762,5,f
Guiding Light - 2 Items,4555742183482,2,f
Guiding Light - 3 Items,4555742609466,3,f
Guiding Light - 5 Items,4555743821882,5,f
Heart Felt - 2 Items,4541684613178,2,f
Heart Felt - 3 Items,4541684744250,3,f
Heart Felt - 5 Items,4541685858362,5,f
Island Splash - 2 Items,4620664504378,2,f
Island Splash - 3 Items,4620664733754,3,f
Island Splash - 3 Items Auto renew,4620664733754,3,f
Island Splash - 5 Items,4620665782330,5,f
Island Splash - 5 Items Auto renew,4620665782330,5,f
Island Sunrise - 2 Items,4620663193658,2,f
Island Sunrise - 3 Items,4620663455802,3,f
Island Sunrise - 3 Items Auto renew,4620663455802,3,f
Island Sunrise - 5 Items,4620663980090,5,f
Malibu Moment - 3 Items,4601261981754,3,f
Malibu Moment - 5 Items,4601266241594,5,f
Mauve Noir - The December Collection (2020),4601259884602,3,f
Midnight Sky - 2 Items,4601240518714,2,f
Midnight Sky - 3 Items,4601240649786,3,f
Midnight Sky - 5 Items,4601242091578,5,f
Midnight Sky - 5 Items Auto renew,4601242091578,5,f
Off The Track - 3 Items,2405032362042,3,f
On The Run - 2 Items,4620652576826,2,f
On The Run - 3 Items,4620652773434,3,f
On The Run - 5 Items,4620653887546,5,f
On The Run - 5 Items Auto renew,4620653887546,5,f
Polar Perfection - 2 Items,4601237143610,2,f
Polar Perfection - 3 Items,4601237667898,3,f
Polar Perfection - 3 Items Auto renew,4601237667898,3,f
Polar Perfection - 5 Items,4601238028346,5,f
Posies In Paris - 2 Items,4601252020282,2,f
Posies In Paris - 3 Items,4601253134394,3,f
Posies In Paris - 3 Items Auto renew,4601253134394,3,f
Posies In Paris - 5 Items,4601254576186,5,f
Posies In Paris - 5 Items Auto renew,4601254576186,5,f
Positively Pink - 2 Items,4556891684922,2,f
Positively Pink - 3 Items,4556893585466,3,f
Positively Pink - 5 Items,4556894175290,5,f
Purple Haze - 2 Items,4574052548666,2,f
Purple Haze - 3 Items,4574053400634,3,f
Purple Haze - 5 Items,4574054285370,5,f
Purple Haze - 5 Items Auto renew,4574054285370,5,f
Velvet Crush - 3 Items,2525970530362,3,f
What A Gem - 5 Items,4557459488826,5,f
Winter Bloom - 2 Items,4601238618170,2,f
Winter Bloom - 3 Items,4601239044154,3,f
Winter Bloom - 5 Items,4601239699514,5,f
