product_title,shopify_product_id,prod_type,prepaid
A New Gray - 2 Items,4519377961018,2,f
A New Gray - 3 Items,4519378059322,3,f
A New Gray - 3 Items Auto renew,4519378059322,3,f
A New Gray - 5 Items,4519378387002,5,f
Berry Crush - 3 Items,4366057406522,3,f
Blush Dreams - 2 Items,4519458799674,2,f
Blush Dreams - 3 Items,4519459323962,3,f
Blush Dreams - 3 Items Auto renew,4519459323962,3,f
Blush Dreams - 5 Items Auto renew,4519487569978,5,f
Boss Babe - 3 Items,2525980524602,3,f
City Limits - 2 Items,4366060453946,2,f
City Limits - 3 Items,4366061174842,3,f
City Limits - 3 Items  Auto renew,4366061174842,3,f
Color Pop - 2 Items,4522218455098,2,f
Color Pop - 3 Items,4522218684474,3,f
Color Pop - 3 Items Auto renew,4522218684474,3,f
Ellie Picks - 3 Items,4399742746682,3,f
Feel The Beet - 2 Items,4522211213370,2,f
Feel The Beet - 3 Items,4522211442746,3,f
Feel The Beet - 3 Items Auto renew,4522211442746,3,f
Feel The Beet - 5 Items,4522215735354,5,f
Gear Up - 2 Items,4320731365434,2,f
Gear Up - 3 Items,4320731660346,3,f
Gear Up - 3 Items  Auto renew,4320731660346,3,f
Gear Up - 5 Items,4320732905530,5,f
Hibiscus Love - 3 Items,4494807302202,3,f
Nightfall - 3 Items,4519392870458,3,f
Nightfall - 3 Items Auto renew,4519392870458,3,f
Nightfall - 5 Items,4519394148410,5,f
Nightfall - 5 Items Auto renew,4519394148410,5,f
Olive Grove - 3 Items,4519443431482,3,f
Olive Grove - 3 Items Auto renew,4519443431482,3,f
Olive Grove - 5 Items,4519453163578,5,f
Pinky Swear - 2 Items,4429078659130,2,f
Renewal - 3 Items,4494771978298,3,f
Second Skin - 2 Items,2525983866938,2,f
Second Skin - 3 Items,2525983998010,3,f
Second Skin - 3 Items  Auto renew,2525983998010,3,f
Second Skin - 5 Items,2525984456762,5,f
Silver Lining - 2 Items,4522150264890,2,f
Silver Lining - 3 Items,4522150985786,3,f
Silver Lining - 3 Items Auto renew,4522150985786,3,f
Silver Lining - 5 Items,4522152099898,5,f
Summer Sunset - 2 Items,4489681862714,2,f
Summer Sunset - 3 Items,4489682452538,3,f
Summer Sunset - 3 Items Auto renew,4489682452538,3,f
Summer Sunset - 5 Items,4489685401658,5,f
Summer Thunder - 2 Items Auto renew,4522207346746,2,f
Summer Thunder - 3 Items,4522207510586,3,f
Summer Thunder - 3 Items Auto renew,4522207510586,3,f
Sunkissed - 3 Items,4522160226362,3,f
Sunkissed - 3 Items Auto renew,4522160226362,3,f
Sunkissed - 5 Items,4522190929978,5,f
Sweet Spot - 2 Items,4522154065978,2,f
Sweet Spot - 3 Items,4522154164282,3,f
Sweet Spot - 3 Items Auto renew,4522154164282,3,f
Sweet Spot - 5 Items,4522155376698,5,f
Trail Blazer - 2 Items,4522279895098,2,f
Trail Blazer - 2 Items Auto renew,4522279895098,2,f
Trail Blazer - 3 Items,4522279960634,3,f
Trail Blazer - 3 Items Auto renew,4522279960634,3,f
Trail Blazer - 5 Items,4522280779834,5,f
Twilight - 3 Items,4494783381562,3,f
Twilight - 5 Items,4494784757818,5,f
Wild Instinct - 3 Items,4494787805242,3,f
Wind Breaker - 3 Items,4466300452922,3,f
Wind Breaker - 3 Items Auto renew,4466300452922,3,f
