product_title,shopify_product_id,prod_type,prepaid
Back To Basics - 2 Items,4408141545530,2,f
Back To Basics - 3 Items,4408141643834,3,f
Back To Basics - 5 Items,4408142102586,5,f
Blue Skies - 3 Items,4398408073274,3,f
Boss Babe - 5 Items,2525981343802,5,f
Calypso - 3 Items,4429051559994,3,f
Citrus Kick - 3 Items,4428800327738,3,f
City Limits - 3 Items,4366061174842,3,f
Coastal Cool - 2 Items,4465961861178,2,f
Coastal Cool - 3 Items,4465962647610,3,f
Coastal Cool - 5 Items,4465964286010,5,f
Cupids Kiss - 3 Items,4382378229818,3,f
Cupids Kiss - 5 Items,4382378360890,5,f
Dream On - 3 Items,4408153833530,3,f
Ellie Picks - 2 Items,4399742615610,2,f
Ellie Picks - 3 Items,4399742746682,3,f
Ellie Picks - 5 Items,4399742910522,5,f
Emerald Tide - 2 Items,4466306121786,2,f
Emerald Tide - 3 Items,4466306613306,3,f
Fresh Tone - 2 Items,4465955569722,2,f
Fresh Tone - 3 Items,4465956257850,3,f
Fresh Tone - 5 Items,4465957109818,5,f
Making Moves - 2 Items,4398463418426,2,f
Making Moves - 3 Items,4398463516730,3,f
Making Moves - 5 Items,4398463877178,5,f
Mineral Love - 2 Items,4465957797946,2,f
Mineral Love - 3 Items,4465958387770,3,f
Mineral Love - 3 Items Auto renew,4465958387770,3,f
Mineral Love - 5 Items,4465961369658,5,f
Off The Grid - 2 Items,4465968578618,2,f
Off The Grid - 3 Items,4465970839610,3,f
Off The Grid - 5 Items,4465974837306,5,f
Paradise Cove - 2 Items,4366058225722,2,f
Paradise Cove - 3 Items,4366058913850,3,f
Paradise Cove - 3 Items,4366058782778,3,f
Paradise Cove - 5 Items,4366059143226,5,f
Peachy Keen - 3 Items,4466303762490,3,f
Show Your Stripes - 2 Items,4320727367738,2,f
Show Your Stripes - 3 Items,4320729464890,3,f
Show Your Stripes - 5 Items,4320730775610,5,f
Tie Game - 3 Items,4429126860858,3,f
