product_title,shopify_product_id,prod_type
Bayside Breeze - 2 Items,4382371348538,2
Bayside Breeze - 2 Items Auto renew,4382371348538,2
Bayside Breeze - 3 Items,4382371840058,3
Bayside Breeze - 3 Items Auto renew,4382371840058,3
Bayside Breeze - 5 Items,4382372233274,5
Bayside Breeze - 5 Items Auto renew,4382372233274,5
Berry Crush - 3 Items,4366057406522,3
Berry Crush - The January Collection (2020),4366057406522,3
Boss Babe - 2 Items,2525979639866,2
Boss Babe - 2 Items  Auto renew,2525979639866,2
Boss Babe - 3 Items,2525980524602,3
Boss Babe - 3 Items  Auto renew,2525980524602,3
Boss Babe - 5 Items,2525981343802,5
Boss Babe - 5 Items  Auto renew,2525981343802,5
Canyon Sunset - 2 Items,2525982425146,2
Canyon Sunset - 3 Items,2525982588986,3
Canyon Sunset - 5 Items,2525983178810,5
City Limits - 3 Items,4366061174842,3
City Limits - 5 Items,4366066024506,5
City Limits - The January Collection (2020),4366061174842,3
Clean Slate - 2 Items,4373264597050,2
Clean Slate - 2 Items Auto renew,4373264597050,2
Clean Slate - 3 Items,4373264957498,3
Clean Slate - 3 Items Auto renew,4373264957498,3
Clean Slate - 5 Items,4373306998842,5
Clean Slate - 5 Items Auto renew,4373306998842,5
Comfort Zone - 3 Items,4320734609466,3
Crunch Time - 3 Items,4366079787066,3
Crunch Time - 5 Items,4366080311354,5
Cupids Kiss - 2 Items,4382377443386,2
Cupids Kiss - 2 Items Auto renew,4382377443386,2
Cupids Kiss - 3 Items,4382378229818,3
Cupids Kiss - 3 Items Auto renew,4382378229818,3
Cupids Kiss - 5 Items,4382378360890,5
English Fog - 3 Items,2514830491706,3
Fierce & Floral - 3 Items,2227262881850,3
First Chakra - 3 Items,2494099554362,3
Floral Bliss - 3 Items,4320725106746,3
Gear Up - 2 Items,4320731365434,2
Gear Up - 3 Items,4320731660346,3
Gear Up - 3 Items  Auto renew,4320731660346,3
Gear Up - 5 Items,4320732905530,5
Good Intentions - 3 Items,2405031280698,3
Good Karma - 3 Items,4320757153850,3
Hidden Gem - 2 Items,4382369808442,2
Hidden Gem - 2 Items Auto renew,4382369808442,2
Hidden Gem - 3 Items,4382369906746,3
Hidden Gem - 3 Items Auto renew,4382369906746,3
Hidden Gem - 5 Items,4382370824250,5
Hidden Gem - 5 Items Auto renew,4382370824250,5
Ivy League - 2 Items,4366077132858,2
Ivy League - 3 Items,4366077591610,3
Ivy League - 5 Items,4366079098938,5
Knockout - 2 Items,4382379376698,2
Knockout - 2 Items Auto renew,4382379376698,2
Knockout - 3 Items,4382379475002,3
Knockout - 3 Items Auto renew,4382379475002,3
Knockout - 5 Items,4382379999290,5
Knockout - 5 Items Auto renew,4382379999290,5
Out Of The Blue - 2 Items,4385218494522,2
Out Of The Blue - 2 Items Auto renew,4385218494522,2
Out Of The Blue - 3 Items,4385218953274,3
Out Of The Blue - 3 Items Auto renew,4385218953274,3
Out Of The Blue - 5 Items,4385220067386,5
Out Of The Blue - 5 Items Auto renew,4385220067386,5
Paradise Cove - 3 Items,4366058782778,3
Paradise Cove - 5 Items,4366059143226,5
Ready Set Go - 2 Items,4383945261114,2
Ready Set Go - 2 Items Auto renew,4383945261114,2
Ready Set Go - 3 Items,4385207582778,3
Ready Set Go - 3 Items Auto renew,4385207582778,3
Ready Set Go - 5 Items,4385217249338,5
Second Skin - 2 Items,2525983866938,2
Second Skin - 2 Items  Auto renew,2525983866938,2
Second Skin - 3 Items,2525983998010,3
Second Skin - 3 Items  Auto renew,2525983998010,3
Second Skin - 5 Items,2525984456762,5
Second Skin - 5 Items  Auto renew,2525984456762,5
Show Your Stripes - 3 Items,4320729464890,3
Simple Life - 3 Items,2457952026682,3
Supernova - 2 Items,4382368825402,2
Supernova - 2 Items Auto renew,4382368825402,2
Supernova - 3 Items,4382368890938,3
Supernova - 3 Items Auto renew,4382368890938,3
Supernova - 5 Items,4382369349690,5
Supernova - 5 Items Auto renew,4382369349690,5
Ultraviolet - 2 Items,2514832261178,2
Ultraviolet - 2 Items  Auto renew,2514832261178,2
Ultraviolet - 3 Items,2514833440826,3
Ultraviolet - 3 Items  Auto renew,2514833440826,3
Ultraviolet - 5 Items,2514833866810,5
Velvet Crush - 3 Items,2525970530362,3
Winter Rose - 3 Items,4320726581306,3
